p,Українська мова,Математика,Історія України,Іноземна мова,Біологія,Фізика,Українська література,Географія,Українська мова і література,Хімія,Творчий конкурс
1,159,140,140,169,,,,,,,
2,155,131,,,176,,,,,,
1,154,147,136,,152,,,,,,
3,149,159,143,,,145,,,,,
1,160,140,146,,,,140,,,,
0,146,131,,140,,,,,,,
1,162,137,147,,,,180,,,,
4,168,149,,155,,,,,,,
4,162,155,145,,,,163,,,,
2,162,150,169,143,,,,,,,
1,172,147,143,159,,,,,,,
1,149,163,140,,154,,,,,,
1,157,148,144,,,,,150,,,
1,143,145,140,,,,,145,,,
1,143,137,138,,146,,,,,,
2,150,123,140,149,,,,,,,
1,160,100,143,,,,145,,,,
0,142,108,140,152,,,,,,,
0,143,115,140,,,,,136,,,
2,131,123,130,125,,,,,,,
К,149,143,136,,,,,146,,,
К,150,123,134,134,,,,,,,
4,160,115,158,,,,,131,,,
2,148,131,127,,,,142,,,,
1,159,194,191,179,,,,,,,
1,186,167,181,,,,,177,,,
1,175,173,197,147,,,,,,,
0,170,155,183,,,,,158,,,
1,165,163,158,,,,,150,,,
1,170,149,147,,,,,152,,,
1,165,150,151,152,,,,,,,
0,154,163,145,150,,,,,,,
0,163,151,152,147,,,,,,,
0,154,148,152,,,,159,,,,
1,167,143,147,153,,,,,,,
2,170,148,169,118,,,,,,,
3,154,147,149,,,,,154,,,
2,172,145,148,134,,,,,,,
1,163,149,148,140,,,,,,,
1,151,137,173,,,,,,,,
3,159,150,151,137,,,,,,,
5,145,170,140,134,,,,,,,
1,154,145,150,148,,,,,,,
1,150,140,151,,,,160,,,,
2,152,143,150,148,,,,,,,
1,160,145,144,137,,,,,,,
0,167,115,158,159,,,,,,,
1,150,148,141,147,,,,,,,
3,156,149,140,137,,,,,,,
1,149,143,147,149,,,,,,,
1,159,134,136,,,,159,,,,
1,145,140,154,151,,,,,,,
4,152,140,146,,148,,,,,,
1,143,148,144,,,,,148,,,
1,144,137,150,,,,,154,,,
0,136,137,145,,,,,164,,,
0,175,108,168,140,,,,,,,
0,154,137,142,,146,,,,,,
1,148,134,144,,,,,151,,,
1,149,145,,134,,,,,,,
1,146,134,151,,,,,147,,,
1,157,148,127,131,,,,,,,
3,146,137,146,137,,,,,,,
1,152,137,134,140,,,,,,,
1,154,140,144,118,,,,,,,
4,143,140,124,153,,,,,,,
1,140,134,144,,,,,142,,,
4,152,123,143,140,,,,,,,
1,145,140,,126,,,,,,,
2,150,134,141,125,,,,,,,
1,142,123,149,143,,,,,,,
1,150,108,154,,151,,,,,,
5,142,131,140,,,,,136,,,
3,143,115,152,,148,,,,,,
3,159,115,138,134,,,,,,,
1,144,137,138,118,,,,,,,
0,146,108,147,,,,,146,,,
5,142,108,140,,,,,152,,,
3,150,115,124,,,,,147,,,
2,136,108,145,,,,,149,,,
0,157,123,138,109,,,,,,,
0,152,108,136,,,,,138,,,
1,143,134,,114,,,,,,,
1,144,108,141,143,,,,,,,
0,157,115,132,118,,,,,,,
0,134,108,142,,,,,145,,,
