p,Українська мова,Математика,Біологія,Історія України,Іноземна мова,Хімія,Фізика,Географія
К,,,,,,,,
К,,,,,,,,
К,,,,,,,,
К,,,,,,,,
К,,,,,,,,
К,,,,,,,,
К,,,,,,,,
К,,,,,,,,
К,,,,,,,,
К,,,,,,,,
К,,,,,,,,
К,,,,,,,,
1,160,157,150,,,,,
2,153,151,,147,,,,
1,151,149,,144,,,,
3,160,131,,147,,,,
3,145,137,,143,,,,
0,138,121,,,126,,,
0,154,131,,140,,,,
К,147,159,,160,,,,
К,134,126,,140,,,,
1,153,151,,,140,,,
1,133,140,,140,,,,
2,190,171,,164,,,,
0,146,159,,192,,,,
1,174,159,,152,,,,
1,168,147,,170,,,,
1,174,143,,,159,,,
0,162,149,,156,,,,
1,177,138,,149,,,,
1,145,143,,,181,,,
1,165,149,,140,,,,
4,156,153,,142,,,,
2,162,143,,,149,,,
0,151,151,150,,,,,
0,162,140,,149,,,,
1,158,145,,146,,,,
1,165,137,,146,,,,
2,144,153,,148,,,,
3,145,147,,150,,,,
1,148,148,,143,,,,
1,149,140,,145,,,,
1,138,150,,142,,,,
1,148,145,,132,,,,
1,134,143,,154,,,,
0,143,134,,,155,,,
3,146,137,,141,,,,
2,145,134,,144,,,,
1,138,140,,143,,,,
1,146,131,,143,,,,
1,149,121,,141,,,,
1,149,114,,132,,,,
1,145,107,,140,,,,
0,146,114,,,114,,,
0,140,100,,134,,,,
1,122,114,,134,,,,
3,133,128,,144,,,,
1,200,193,,200,,,,
1,179,167,,,155,,,
1,153,149,,155,,,,
2,152,151,,152,,,,
0,156,147,,151,,,,
1,152,148,,,145,,,
1,142,148,,,148,,,
1,155,121,,,150,,,
1,149,126,,,145,,,
0,140,131,,,,132,,
2,158,151,,159,,,,
2,140,126,,141,,,,
1,156,148,,146,,,,
1,151,137,,,,,134,
1,168,151,,178,,,,
1,179,153,,152,,,,
1,156,148,,144,,,,
1,152,148,,138,,,,
1,150,126,150,,,,,
0,140,134,,142,,,,
1,140,134,,134,,,,
3,136,131,,136,,,,
2,128,134,,140,,,,
0,142,114,,,126,,,
0,118,126,,130,,,,
К,186,157,,,193,,,
К,179,157,,159,,,,
К,156,175,,,,,155,
К,158,171,,151,,,,
К,158,151,,,163,,,
К,153,147,,,163,,,
К,153,148,,,152,,,
