p,Іноземна мова,Історія України,Біологія,Географія,Математика,Українська мова,Фізика,Хімія
1,,,150,,157,160,,
2,,147,,,151,153,,
1,,144,,,149,151,,
3,,147,,,131,160,,
3,,143,,,137,145,,
0,126,,,,121,138,,
0,,140,,,131,154,,
К,,160,,,159,147,,
К,,140,,,126,134,,
1,140,,,,151,153,,
1,,140,,,140,133,,
2,,164,,,171,190,,
0,,192,,,159,146,,
1,,152,,,159,174,,
1,,170,,,147,168,,
1,159,,,,143,174,,
0,,156,,,149,162,,
1,,149,,,138,177,,
1,181,,,,143,145,,
1,,140,,,149,165,,
4,,142,,,153,156,,
2,149,,,,143,162,,
0,,,150,,151,151,,
0,,149,,,140,162,,
1,,146,,,145,158,,
1,,146,,,137,165,,
2,,148,,,153,144,,
3,,150,,,147,145,,
1,,143,,,148,148,,
1,,145,,,140,149,,
1,,142,,,150,138,,
1,,132,,,145,148,,
1,,154,,,143,134,,
0,155,,,,134,143,,
3,,141,,,137,146,,
2,,144,,,134,145,,
1,,143,,,140,138,,
1,,143,,,131,146,,
1,,141,,,121,149,,
1,,132,,,114,149,,
1,,140,,,107,145,,
0,114,,,,114,146,,
0,,134,,,100,140,,
1,,134,,,114,122,,
3,,144,,,128,133,,
1,,200,,,193,200,,
1,155,,,,167,179,,
1,,155,,,149,153,,
2,,152,,,151,152,,
0,,151,,,147,156,,
1,145,,,,148,152,,
1,148,,,,148,142,,
1,150,,,,121,155,,
1,145,,,,126,149,,
0,,,,,131,140,,132
2,,159,,,151,158,,
2,,141,,,126,140,,
1,,146,,,148,156,,
1,,,,,137,151,134,
1,,178,,,151,168,,
1,,152,,,153,179,,
1,,144,,,148,156,,
1,,138,,,148,152,,
1,,,150,,126,150,,
0,,142,,,134,140,,
1,,134,,,134,140,,
3,,136,,,131,136,,
2,,140,,,134,128,,
0,126,,,,114,142,,
0,,130,,,126,118,,
К,193,,,,157,186,,
К,,159,,,157,179,,
К,,,,,175,156,155,
К,,151,,,171,158,,
К,163,,,,151,158,,
К,163,,,,147,153,,
К,152,,,,148,153,,
К,,,,,151,156,137,
К,,147,,,145,153,,
К,148,,,,134,154,,
К,,144,,,137,152,,
К,151,,,,134,150,,
К,,152,,,140,142,,
К,,,,,151,149,107,
К,,138,,,140,143,,
К,,150,,,114,162,,
К,,127,,,145,131,,
К,,140,,,126,142,,
К,,141,,,121,142,,
К,,150,,,107,151,,
К,,146,,,114,143,,
К,148,,,,148,153,,
К,147,,,,143,156,,
К,,144,,,145,155,,
К,,127,,,152,149,,
К,145,,,,150,136,,
К,,147,,,140,145,,
К,145,,,,137,144,,
К,,143,,,140,131,,
К,,,144,,114,148,,
К,,118,,,131,143,,
К,,140,,,100,143,,
К,,146,,,140,158,,
К,,144,,,121,144,,
К,,124,,,126,152,,
К,,135,,,132,136,,
К,121,,,,126,145,,
К,,140,,,131,143,,
К,,151,,,159,137,,
1,151,,,,163,162,,
2,148,,,,131,138,,
1,159,,,,181,174,,
1,,164,,,200,146,,
1,181,,,,157,179,,
1,,140,,,126,131,,
0,,,189,,158,160,,
1,163,,,,147,174,,
5,,158,,,148,174,,
1,152,,,,155,165,,
2,,140,,,157,154,,
2,150,,,,147,158,,
1,150,,,,143,160,,
2,,150,,,143,160,,
4,,134,,,147,160,,
4,,147,,,143,155,,
4,,,158,,145,144,,
0,,152,,,143,148,,
1,163,,,,131,145,,
2,,141,,,143,145,,
2,,144,,,134,151,,
0,,142,,,140,144,,
1,,138,,,137,149,,
1,159,,,,121,151,,
3,,150,,,126,143,,
5,,141,,,121,150,,
0,,,128,,126,142,,
4,,141,,,114,146,,
5,,134,,,121,143,,
1,137,,,,131,125,,
1,,138,,,114,143,,
1,,132,,,126,131,,
0,,151,,,100,143,,
0,,,136,,121,128,,
0,,140,,,100,140,,
1,167,,,,143,190,,
2,,153,,,193,168,,
0,,162,,,153,165,,
3,,154,,,152,158,,
1,,143,,,159,149,,
4,,,,157,136,160,,
0,,145,,,134,151,,
К,145,,,,134,171,,
К,,140,,,126,136,,
К,,,170,,151,169,,
К,181,,,,143,145,,
К,100,,,,148,138,,
К,,,177,,140,181,,
К,,,134,,126,131,,
К,157,,,,126,152,,
К,151,,,,147,148,,
1,,176,,,149,158,,
2,,162,,,148,168,,
2,,,171,,143,156,,
4,,,150,,163,155,,
4,163,,,,149,156,,
3,,141,,,126,134,,
0,,140,,,107,125,,
1,175,,,,167,153,,
1,,,168,,155,165,,
2,152,,,,151,174,,
1,,136,,,153,165,,
3,148,,,,151,153,,
1,,147,,,143,148,,
1,134,,,,149,140,,
1,,132,,,145,145,,
1,,134,,,121,144,,
1,,188,,,200,200,,
1,,196,,,193,200,,
1,,188,,,200,190,,
1,,173,,,193,200,,
1,,184,,,193,186,,
1,193,,,,187,186,,
1,181,,,,200,176,,
1,,188,,,193,179,,
1,193,,,,187,182,,
1,187,,,,193,176,,
3,193,,,,181,186,,
1,,154,,,193,190,,
1,200,,,,175,182,,
1,175,,,,187,186,,
1,,176,,,193,171,,
1,181,,,,171,200,,
1,,184,,,193,160,,
2,,196,,,175,182,,
1,163,,,,200,168,,
2,175,,,,187,176,,
1,,,,,193,171,171,
5,,178,,,175,190,,
1,193,,,,175,174,,
1,159,,,,193,174,,
1,175,,,,187,168,,
1,181,,,,187,162,,
1,175,,,,175,186,,
1,,188,,,171,182,,
3,167,,,,187,171,,
1,,196,,,167,179,,
2,,160,,,181,179,,
1,163,,,,175,190,,
1,,,,,187,186,153,
1,175,,,,171,182,,
1,157,,,,193,162,,
1,,196,,,175,160,,
3,163,,,,181,174,,
