p,Іноземна мова,Історія України,Біологія,Географія,Математика,Творчий конкурс,Українська література,Українська мова,Українська мова і література,Фізика,Хімія
1,169,140,,,140,,,159,,,
2,,,176,,131,,,155,,,
1,,136,152,,147,,,154,,,
3,,143,,,159,,,149,,145,
1,,146,,,140,,140,160,,,
0,140,,,,131,,,146,,,
1,,147,,,137,,180,162,,,
4,155,,,,149,,,168,,,
4,,145,,,155,,163,162,,,
2,143,169,,,150,,,162,,,
1,159,143,,,147,,,172,,,
1,,140,154,,163,,,149,,,
1,,144,,150,148,,,157,,,
1,,140,,145,145,,,143,,,
1,,138,146,,137,,,143,,,
2,149,140,,,123,,,150,,,
1,,143,,,100,,145,160,,,
0,152,140,,,108,,,142,,,
0,,140,,136,115,,,143,,,
2,125,130,,,123,,,131,,,
К,,136,,146,143,,,149,,,
К,134,134,,,123,,,150,,,
4,,158,,131,115,,,160,,,
2,,127,,,131,,142,148,,,
1,179,191,,,194,,,159,,,
1,,181,,177,167,,,186,,,
1,147,197,,,173,,,175,,,
0,,183,,158,155,,,170,,,
1,,158,,150,163,,,165,,,
1,,147,,152,149,,,170,,,
1,152,151,,,150,,,165,,,
0,150,145,,,163,,,154,,,
0,147,152,,,151,,,163,,,
0,,152,,,148,,159,154,,,
1,153,147,,,143,,,167,,,
2,118,169,,,148,,,170,,,
3,,149,,154,147,,,154,,,
2,134,148,,,145,,,172,,,
1,140,148,,,149,,,163,,,
1,,173,,,137,,,151,,,
3,137,151,,,150,,,159,,,
5,134,140,,,170,,,145,,,
1,148,150,,,145,,,154,,,
1,,151,,,140,,160,150,,,
2,148,150,,,143,,,152,,,
1,137,144,,,145,,,160,,,
0,159,158,,,115,,,167,,,
1,147,141,,,148,,,150,,,
3,137,140,,,149,,,156,,,
1,149,147,,,143,,,149,,,
1,,136,,,134,,159,159,,,
1,151,154,,,140,,,145,,,
4,,146,148,,140,,,152,,,
1,,144,,148,148,,,143,,,
1,,150,,154,137,,,144,,,
0,,145,,164,137,,,136,,,
0,140,168,,,108,,,175,,,
0,,142,146,,137,,,154,,,
1,,144,,151,134,,,148,,,
1,134,,,,145,,,149,,,
1,,151,,147,134,,,146,,,
1,131,127,,,148,,,157,,,
3,137,146,,,137,,,146,,,
1,140,134,,,137,,,152,,,
1,118,144,,,140,,,154,,,
4,153,124,,,140,,,143,,,
1,,144,,142,134,,,140,,,
4,140,143,,,123,,,152,,,
1,126,,,,140,,,145,,,
2,125,141,,,134,,,150,,,
1,143,149,,,123,,,142,,,
1,,154,151,,108,,,150,,,
5,,140,,136,131,,,142,,,
3,,152,148,,115,,,143,,,
3,134,138,,,115,,,159,,,
1,118,138,,,137,,,144,,,
0,,147,,146,108,,,146,,,
5,,140,,152,108,,,142,,,
3,,124,,147,115,,,150,,,
2,,145,,149,108,,,136,,,
0,109,138,,,123,,,157,,,
0,,136,,138,108,,,152,,,
1,114,,,,134,,,143,,,
1,143,141,,,108,,,144,,,
0,118,132,,,115,,,157,,,
0,,142,,145,108,,,134,,,
1,,127,151,,131,,,120,,,
0,125,134,,,115,,,142,,,
0,147,134,,,115,,,125,,,
1,,136,144,,123,,,110,,,
0,,134,,,108,,115,138,,,
0,,136,134,,100,,,110,,,
2,,146,,,145,,136,154,,,
3,166,145,,,170,,,165,,,
1,,145,148,,148,,,177,,,
4,,148,,,137,,148,177,,,
0,162,143,,,148,,,157,,,
0,140,144,,,152,,,146,,,
0,,,,150,144,,,,140,,
1,,144,,136,143,,,152,,,
1,,148,,146,134,,,149,,,
3,,143,,,147,,131,149,,,
1,140,141,,,131,,,159,,,
1,,142,,144,143,,,140,,,
0,125,149,,,145,,,145,,,
1,,134,,,148,,,143,,134,
0,153,134,,,131,,,148,,,
0,155,156,,,100,,,149,,,
0,,142,,,123,,138,142,,,
1,,141,147,,108,,,142,,,
1,,152,,119,115,,,145,,,
0,109,134,,,123,,,140,,,
2,,132,,134,100,,,143,,,
2,,136,,,100,,131,143,,,
0,,136,,131,115,,,115,,,
1,148,152,,,147,,,143,,,
3,,140,,146,134,,,136,,,
1,,179,,152,170,,,175,,,
1,157,156,,,150,,,183,,,
1,151,149,,,159,,,154,,,
1,147,147,,,148,,,162,,,
1,,151,160,,155,,,143,,,
2,149,152,,,143,,,157,,,
1,153,151,,,131,,,165,,,
0,,144,,,137,,152,156,,,
4,140,144,,,134,,,163,,,
0,,134,,150,145,,,143,,,
1,140,138,,,134,,,159,,,
3,,141,,150,143,,,134,,,
1,,132,,142,131,,,162,,,
1,,146,149,,131,,,146,,,
3,,147,149,,123,,,154,,,
2,,136,140,,131,,,145,,,
2,,147,,140,123,,,145,,,
1,,140,,134,131,,,145,,,
2,,144,,142,108,,,145,,,
3,,138,,148,100,,,146,,,
0,,130,146,,115,,,125,,,
0,,130,,,108,,,125,,137,
1,,154,,,108,,170,154,,,
1,147,163,,,151,,,170,,,
2,143,146,,,150,,,160,,,
5,,158,,152,148,,,145,,,
1,140,146,,,137,,,175,,,
2,162,130,,,149,,,146,,,
1,143,140,,,148,,,148,,,
1,,148,,152,134,,,149,,,
0,,140,,149,140,,,149,,,
0,,142,152,,123,,,165,,,
0,,146,,149,123,,,146,,,
0,131,136,,,131,,,148,,,
2,134,136,,,131,,,145,,,
0,,150,,,100,,148,160,,,
1,,144,,,125,,,140,,,
1,137,141,,,115,,,144,,,
2,,132,,,123,,131,140,,,
1,,144,,146,123,,,150,,,
К,200,140,,,134,,,160,,,
К,,145,166,,140,,,175,,,
К,134,143,,,159,,,175,,,
К,143,154,,,163,,,154,,,
К,149,156,,,140,,,170,,,
К,153,147,,,134,,,177,,,
К,157,150,,,150,,,150,,,
К,137,143,,,134,,,172,,,
К,137,136,,,140,,,157,,,
К,,132,,131,134,,,146,,,
К,,136,,,131,,115,142,,,
К,147,134,,,100,,,138,,,
К,,143,,,108,,125,125,,,
К,131,149,,,159,,,183,,,
К,157,141,,,152,,,157,,,
К,,138,,160,143,,,156,,,
К,151,143,,,140,,,162,,,
К,131,154,,,137,,,156,,,
К,,142,,144,140,,,143,,,
К,,162,,,126,,,144,,,
К,148,136,,,134,,,148,,,
К,149,127,,,131,,,156,,,
К,,132,136,,137,,,140,,,
К,,148,,134,123,,,136,,,
К,,,109,,116,,,,130,,
К,179,156,,,176,,,186,,,
К,,142,,,150,,,190,,,
К,,147,,138,108,,,144,,,
К,,166,128,,100,,,138,,,
К,,140,,,123,,105,138,,,
К,,134,,138,100,,,131,,,
К,,154,,,131,,,125,,,
К,145,173,,,173,,,172,,,
К,152,151,,,147,,,150,,,
К,125,132,,,131,,,136,,,
К,,,,133,119,,,,129,,
